transaction_date,is_summarydate,apply_amt,redeem_amt,during_days,is_trade,is_weekend_delay,holiday_num
2022-02-23,0,1.70218154991e-05,0.0,5.0,1,0,0
2022-03-01,0,0.0001702181549918,0.0,5.0,1,0,0
2022-03-02,0,0.0139578887093276,0.0,5.0,1,0,0
2022-03-03,0,0.0362905106442518,0.0,5.0,1,0,0
2022-03-04,0,0.0070810752476589,0.0,5.0,1,0,0
2022-03-07,1,2.148999147887916,0.0,5.0,1,1,0
2022-03-08,0,1.9182334249220483,0.0,5.0,1,0,0
2022-03-09,0,0.8261678276112231,0.0,5.0,1,0,0
2022-03-10,0,2.156071143699188,0.0,5.0,1,0,0
2022-03-11,0,2.544357169435492,0.0,5.0,1,0,0
2022-03-14,1,5.449544986445528,0.0,5.0,1,1,0
2022-03-15,0,6.354073439601662,0.0,5.0,1,0,0
2022-03-16,0,6.595352697123688,0.0,5.0,1,0,0
2022-03-17,0,6.602733625268817,0.0,5.0,1,0,0
2022-03-18,0,6.546854232321228,0.0,5.0,1,0,0
2022-03-21,1,6.405317822828093,0.0,5.0,1,1,0
2022-03-22,0,6.444792362787997,0.0,5.0,1,0,0
2022-03-23,0,6.521051638400807,0.0,5.0,1,0,0
2022-03-24,0,6.3115372639882725,0.0,5.0,1,0,0
2022-03-25,0,6.301713514674677,0.0,5.0,1,0,0
2022-03-28,1,6.007761365721536,0.0,5.0,1,1,0
2022-03-29,0,6.486735682185002,0.0,5.0,1,0,0
2022-03-30,0,6.524990581829484,0.0,5.0,1,0,0
2022-03-31,0,6.911138020710102,0.0,5.0,1,0,0
2022-04-01,0,6.756438648100178,0.0,5.0,1,0,0
2022-04-06,1,9.631123238965523,0.0,5.0,1,1,3
2022-04-07,0,10.118847299676212,0.0,5.0,1,0,0
2022-04-08,0,9.900265346273091,0.0,5.0,1,0,0
2022-04-11,1,9.93870025502084,0.0,5.0,1,1,0
2022-04-12,0,10.716201401440111,0.0,5.0,1,0,0
2022-04-13,0,9.694410008555163,0.0,5.0,1,0,0
2022-04-14,0,9.811886834204453,0.0,5.0,1,0,0
2022-04-15,0,9.906367050939826,0.0,5.0,1,0,0
2022-04-18,1,10.739118089525896,0.0,5.0,1,1,0
2022-04-19,0,10.706598516991347,0.0,5.0,1,0,0
2022-04-20,0,10.308447872562434,0.0,5.0,1,0,0
2022-04-21,0,10.801448934383284,0.0,5.0,1,0,0
2022-04-22,0,9.954354040825804,0.0,5.0,1,0,0
2022-04-25,1,12.040102954748866,0.0,5.0,1,1,0
2022-04-26,0,12.034954968787098,0.0,5.0,1,0,0
2022-04-27,0,11.69634506896729,0.0,5.0,1,0,0
2022-04-28,0,9.495158767579705,0.0,5.0,1,0,0
2022-04-29,0,9.737678047339031,0.0,5.0,1,0,0
2022-05-05,1,15.639722765690966,0.0,5.0,1,1,4
2022-05-06,0,11.043069894638366,0.0,5.0,1,0,0
2022-05-09,1,10.478866163252148,0.0,5.0,1,1,0
2022-05-10,0,10.42217380158759,0.0,5.0,1,0,0
2022-05-11,0,11.34090350094488,0.0,5.0,1,0,0
2022-05-12,0,10.733336888623198,0.0,5.0,1,0,0
2022-05-13,0,9.782657391365923,0.0,5.0,1,0,0
2022-05-16,1,12.408415473238811,0.0,5.0,1,1,0
2022-05-17,0,10.586523518872257,0.0,5.0,1,0,0
2022-05-18,0,12.802589702414409,0.0,5.0,1,0,0
2022-05-19,0,13.390689792051289,0.0,5.0,1,0,0
2022-05-20,0,11.967149560820138,0.0,5.0,1,0,0
2022-05-23,1,12.118617072812858,0.0,5.0,1,1,0
2022-05-24,0,10.883971192960322,1.72294816482e-05,5.0,1,0,0
2022-05-25,0,10.790889614547796,0.0,5.0,1,0,0
2022-05-26,0,9.923165969169409,0.0,5.0,1,0,0
2022-05-27,0,10.043233069166105,0.0,5.0,1,0,0
2022-05-30,1,11.347070429804246,0.0001723254557505,5.0,1,1,0
2022-05-31,0,10.357516346900514,0.0,5.0,1,0,0
2022-06-01,0,10.752943827668416,0.0,5.0,1,0,0
2022-06-02,0,7.6388571961597425,0.0001033632724372,5.0,1,0,0
2022-06-06,1,10.966584283349226,2.277049292113759,5.0,1,1,5
2022-06-07,0,9.463567929129333,0.4210843849694645,5.0,1,0,0
2022-06-08,0,9.433404489061273,1.1258584322839835,5.0,1,0,0
2022-06-09,0,10.944689425060949,1.6044923669072757,5.0,1,0,0
2022-06-10,0,9.75562500872368,0.0,5.0,1,0,0
2022-06-13,1,16.05117873008405,6.060425177716264,5.0,1,1,0
2022-06-14,0,13.52272857659834,3.429558750285541,5.0,1,0,0
2022-06-15,0,13.285921372148971,3.434649410177072,5.0,1,0,0
2022-06-16,0,13.377931107265692,3.630455095259186,5.0,1,0,0
2022-06-17,0,9.587467463650764,0.0,5.0,1,0,0
2022-06-20,1,16.502993973936878,6.455574699045791,5.0,1,1,0
2022-06-21,0,13.377530182232151,3.347324466783119,5.0,1,0,0
2022-06-22,0,13.19896481148169,3.2664779106198085,5.0,1,0,0
2022-06-23,0,12.84363253713224,3.047170116364536,5.0,1,0,0
2022-06-24,0,10.034197678428628,0.0,5.0,1,0,0
2022-06-27,1,15.468850367007365,5.7664784825528095,5.0,1,1,0
2022-06-28,0,12.783355718155503,2.847080785876796,5.0,1,0,0
2022-06-29,0,13.167751459024917,3.2809896823967533,5.0,1,0,0
2022-06-30,0,13.451694007674115,3.079605352612014,5.0,1,0,0
2022-07-01,0,9.897098018762806,0.0,5.0,1,0,0
2022-07-04,1,10.829603602769382,0.0,5.0,1,1,0
2022-07-05,0,14.659862327556242,4.868176823981151,5.0,1,0,0
2022-07-06,0,14.476241283553827,4.964777209967839,5.0,1,0,0
2022-07-07,0,14.721612428921151,5.03900852009953,5.0,1,0,0
2022-07-08,0,9.853447673407192,0.0,5.0,1,0,0
2022-07-11,1,20.25184065742337,10.606115802134331,5.0,1,1,0
2022-07-12,0,15.68955943115816,4.96262219025147,5.0,1,0,0
2022-07-13,0,15.783687064816007,4.976959079895976,5.0,1,0,0
2022-07-14,0,16.892319593437342,5.264155045589528,5.0,1,0,0
2022-07-15,0,11.032882739776952,0.0,5.0,1,0,0
2022-07-18,1,22.03367426100639,11.756310647451988,5.0,1,1,0
2022-07-19,0,16.332658548849377,5.141758700786101,5.0,1,0,0
2022-07-20,0,17.332977244896604,5.51352649122168,5.0,1,0,0
2022-07-21,0,16.67869975798383,5.173640561216065,5.0,1,0,0
2022-07-22,0,11.950515420573316,0.0,5.0,1,0,0
2022-07-25,1,22.7495275152541,12.247141860150808,5.0,1,1,0
2022-07-26,0,17.699290040501708,6.132883893856044,5.0,1,0,0
2022-07-27,0,15.917210090396054,4.474986714473003,5.0,1,0,0
2022-07-28,0,16.413324537593873,4.414418155196063,5.0,1,0,0
2022-07-29,0,10.845110156679002,0.0,5.0,1,0,0
2022-08-01,1,13.296389243982873,0.0,5.0,1,1,0
2022-08-02,0,14.203909083759928,0.0,5.0,1,0,0
2022-08-03,0,19.42873560592727,8.08687426699807,5.0,1,0,0
2022-08-04,0,16.70715689041389,6.09954967765788,5.0,1,0,0
2022-08-05,0,11.67016016847512,0.0,5.0,1,0,0
2022-08-08,1,21.57133049659104,10.25354814977972,5.0,1,1,0
2022-08-09,0,18.269109095198587,5.309929665858357,5.0,1,0,0
2022-08-10,0,16.786622926274774,5.275486982226161,5.0,1,0,0
2022-08-11,0,15.568871024682654,4.8761768900257945,5.0,1,0,0
2022-08-12,0,9.980942760060149,0.0,5.0,1,0,0
2022-08-15,1,21.20981963343861,10.987142064412591,5.0,1,1,0
2022-08-16,0,18.353895422050808,6.0864407588053,5.0,1,0,0
2022-08-17,0,18.27336989051909,6.803598006677317,5.0,1,0,0
2022-08-18,0,16.686257651731612,5.909186551267836,5.0,1,0,0
2022-08-19,0,10.182767665495453,0.0,5.0,1,0,0
2022-08-22,1,22.13511544705926,11.718289116898,5.0,1,1,0
2022-08-23,0,17.490203090685085,6.2009355700452815,5.0,1,0,0
2022-08-24,0,15.595552652390356,5.495309822574808,5.0,1,0,0
2022-08-25,0,15.518646251608986,5.61056827331044,5.0,1,0,0
2022-08-26,0,10.087256141215704,0.0,5.0,1,0,0
2022-08-29,1,17.69635295687659,11.628441989822996,5.0,1,1,0
2022-08-30,0,16.35425971954176,5.174872930445117,5.0,1,0,0
2022-08-31,0,13.830450560647536,3.641936377900645,5.0,1,0,0
2022-09-01,0,11.984178596973454,0.0,5.0,1,0,0
2022-09-02,0,10.533869028023696,0.0,5.0,1,0,0
2022-09-05,1,21.10677908441016,11.15634958315276,5.0,1,1,0
2022-09-06,0,16.049826425142992,5.133256034999576,5.0,1,0,0
2022-09-07,0,16.329731048506385,6.18838299561484,5.0,1,0,0
2022-09-08,0,16.044884236334973,5.230808686028188,5.0,1,0,0
2022-09-09,0,10.60009718435341,0.0,5.0,1,0,0
2022-09-13,1,26.85011828119154,22.74087159525391,5.0,1,1,6
2022-09-14,0,18.552196284001504,7.320369472122862,5.0,1,0,0
2022-09-15,0,15.914319415048714,5.11975835490281,5.0,1,0,0
2022-09-16,0,11.277210420619276,0.0,5.0,1,0,0
2022-09-19,1,26.52865638299357,16.90734419166292,5.0,1,1,0
2022-09-20,0,17.84321017822862,7.145106595715201,5.0,1,0,0
2022-09-21,0,18.71880881675573,7.185679948335386,5.0,1,0,0
2022-09-22,0,15.3503981981387,4.947262949941905,5.0,1,0,0
2022-09-23,0,11.248426193578211,0.0,5.0,1,0,0
2022-09-26,1,24.86569475731487,15.001015804074818,5.0,1,1,0
2022-09-27,0,17.224474892311484,6.884500237794763,5.0,1,0,0
2022-09-28,0,16.763922639933792,7.398133946027908,5.0,1,0,0
2022-09-29,0,14.259034144740582,4.72939440806126,5.0,1,0,0
2022-09-30,0,9.698182659059505,0.0,5.0,1,0,0
2022-10-10,1,22.940747366640032,56.531174311220745,5.0,1,1,7
2022-10-11,0,19.313808277164178,8.668015692071272,5.0,1,0,0
2022-10-12,0,20.83146468977571,9.174921143035338,5.0,1,0,0
2022-10-13,0,8.727805367114602,6.159182626037182,5.0,1,0,0
2022-10-14,0,12.905597545726554,0.0,5.0,1,0,0
2022-10-17,1,27.046709986052324,21.867642063221066,5.0,1,1,0
2022-10-18,0,19.52705700299618,8.709354502117003,5.0,1,0,0
2022-10-19,0,19.238403534137426,8.937624786078334,5.0,1,0,0
2022-10-20,0,16.890927362125847,5.5687402324567215,5.0,1,0,0
2022-10-21,0,11.191867218264273,0.0,5.0,1,0,0
2022-10-24,1,20.472075061440243,24.638910641256047,5.0,1,1,0
2022-10-25,0,19.88257645944195,8.799194146401911,5.0,1,0,0
2022-10-26,0,19.84987717057936,9.545028703887477,5.0,1,0,0
2022-10-27,0,17.147425181461063,5.860914384693711,5.0,1,0,0
2022-10-28,0,11.81715007828333,0.0,5.0,1,0,0
2022-10-31,1,23.53366447005812,12.69692578522486,5.0,1,1,0
2022-11-01,0,22.57348607462296,12.814946355748454,5.0,1,0,0
2022-11-02,0,22.214502920432885,10.68008801299922,5.0,1,0,0
2022-11-03,0,17.85371137877727,6.041758833556262,5.0,1,0,0
2022-11-04,0,10.687141308643984,0.0,5.0,1,0,0
2022-11-07,1,20.934051028679377,25.13990695875648,5.0,1,1,0
2022-11-08,0,17.096377032532434,10.059787254541163,5.0,1,0,0
2022-11-09,0,10.411978387741296,9.798540205698428,5.0,1,0,0
